review_text,review_star
Very dull display in sun light time . Outside  You can't view and read letters . Easily broke the touch screen. If I m using screen protector,1.0 out of 5 stars
RAM 2GB IN 10990 IS NOT JUSTIFIED WHEN REALME 2 PRO IS COMING WITH BETTER HARDWARE WITHIN THE SAME PRICE,2.0 out of 5 stars
Best budget phone in market...battery life superb never went to finish up to 2 day of regular use..no  heating problems and there was no lagging issues at all face detection gives accuracy shocks in the night as it increases screen brightness to be high and detects you quickly and also the camera deserve a medal again nice combo pack in just 10000/-,5.0 out of 5 stars
"Very very good product I'm satisfied with this product,😊😊😊",5.0 out of 5 stars
Oppo you beauty... Camera quality is superb and battery backup is excellent.,5.0 out of 5 stars
It takes quite a long time to charge the phone. There is touch issue in the four corners of the phone. Camera quality is not great.,2.0 out of 5 stars
"I have purchased this mobile phone a month ago,",5.0 out of 5 stars
"This is my comprehensive review about the OPPO A3S, 2 GB ram, 16GB ROM",4.0 out of 5 stars
"Battery life is really awesome, sound quality top class, in looks no.1, feels really comfortable in hand, the notch thing is also really good camera as expected from oppo it's really really good and this phone comes with a portrait mode as well I just loved the color!!! Just go for it .... But let me tell you if you're looking for big storage go for the 32gb variant Because in this only 7GB is usable rest of the storage got eaten by the system OS 😅 but it's a good thing that it has 2 sim slots and both supports 4G and it comes with a dedicated sd card slot...",5.0 out of 5 stars
Battery backup is osam...... overall phone parfomance is fabulous.... I love my phone,5.0 out of 5 stars
"Overall it's a good phone on 10k price with good battery backup, camera quality...it's been a week since i bought this phone and no issues found especially on heating problems and lagging issues after several app usage.",4.0 out of 5 stars
Nice,5.0 out of 5 stars
A very fine mobile but a little expensive considering its features! But overall a very Good set.,5.0 out of 5 stars
It's an excellent phone under ten grands. The battery life is splendid. Camera output on either side is superlative for the price range.,3.0 out of 5 stars
The phone is very nice although a bit costly ( 12500) Market price . Picture quality is decent and battery life is superb.,5.0 out of 5 stars
This phone looks same as shown in the image but the video quality is poor and also I didn't get any sim tool ejector.,3.0 out of 5 stars
Good fone for starter.,3.0 out of 5 stars
The camera quality is to bat...,2.0 out of 5 stars
Awesome phone !!,5.0 out of 5 stars
There is no indication light for missed calls message alert and not also for battery is changing or not this is the biggest draw back of this model phone and it is where worst charging time for full charge it takes 4 hours...,3.0 out of 5 stars
"Super Phone,Battery backup, Display, Sound, Speed Very good but charging time too long.",5.0 out of 5 stars
"Nice phone, gloosy back looks cool and gives a premium phone feel.... Performance wise it's very good in it's segment...only drawback is no Fingerprint sensor. Also having little problem with the software notification settings but it's a software issue, maybe rectified in a next update. As for camera quality, oppo never disappoint in that",4.0 out of 5 stars
Solid battery and crystal clear voice clarity.,5.0 out of 5 stars
Love it,5.0 out of 5 stars
"Picture and Sound is average performance, battery is good, internet is okay but sometimes it feels like 4G is having 3G speed and 3G is having 2G speed",5.0 out of 5 stars
"Nice mobile.oppo best low budget mobile. Camera superb,sound good.touch software nice.bettery excellent.big screen full view.i think best phone on this budget.",4.0 out of 5 stars
Very good phone I suggest to my friends this phone is very best for battery backup and camera clarity thank you Amazon,4.0 out of 5 stars
"Very good battery backup, good Camera, no heating problem,",5.0 out of 5 stars
Screen resolution at this price is very bad.only 720p. No fingerprint sensor. Got this in great deal of exchange offer.,5.0 out of 5 stars
Battery Charger given with 1A secondary which takes complete charging to 3 hr. Fast charging option would be better in this price range,4.0 out of 5 stars
Nice,5.0 out of 5 stars
Got it during sale and worth every penny. Screen is so large and beautiful. Being used for more than 5 months with no problem whatsoever. 100 times better than xaomi.,5.0 out of 5 stars
I buy this befor 3 days ago nd it start hanging nd the pucture quality us vry bad,1.0 out of 5 stars
Great phone. My only qualms are that there is on LED indicator while charging. And the fact that the screen glass is very prone to scratches. So it's essential to buy a tempered glass protector.,4.0 out of 5 stars
I bought this for my mom and she is really very happy with the product,5.0 out of 5 stars
Very good product below 10k tag line...,5.0 out of 5 stars
This phone is a good medium range phone with excellent battery life. Lasts for 2 days with average use. The front camera is very good. The picture quality is equal to A83 and the sound quality is good but low in volume. Overall a nice phone from OPPO.,4.0 out of 5 stars
V good,5.0 out of 5 stars
Good to use. As expected as satisfied. Now 4month gone. Not even a issue. Phone processing speed is ultimate. Nice design notch one. Love it to use. No problem you can buy you will satisfied.,5.0 out of 5 stars
Nice phone. Notch display rocks.,5.0 out of 5 stars
"Suddenly phone is dead,",1.0 out of 5 stars
Oppo a3s camera is not good... But battery backup awesome... I m happy for battery backup and sound quality... 😊,2.0 out of 5 stars
The best phone at this price...I first bought one for my wife in red colour I liked it so much that I bought for myself as well in purple. The camera quality is so good that my friends with iPhone 10 are liking the pictures of Oppo A3s,5.0 out of 5 stars
Recommended ...all feature r good ...came with screen protector and transferant cover.,5.0 out of 5 stars
Mobile phone good quality working but price is most compar ram and internel gp. very fast and good delivery thanks amazon.,4.0 out of 5 stars
Battery life long last... And the picture quality is good. Sounds louder than other phones. Nice phone from oppo. I got this phone in exchange. Good deal. Thank you amazon,4.0 out of 5 stars
Very good in below 10k,5.0 out of 5 stars
Screen resolution should have been a bit better by applying 3D viewing in this phone with full HD amoled display. But overall a good smartphone at this price. Also price should have been a bit low somewhat around 8000 approximately.,4.0 out of 5 stars
Finger print recognition would have been very helpful.,4.0 out of 5 stars
"It's a good product in affordable price, all quality are best.",5.0 out of 5 stars
Its good.,4.0 out of 5 stars
The phone is really good. Good battery life and I recommend it to everyone.,4.0 out of 5 stars
Low budget best feachers,5.0 out of 5 stars
THIS ONE LIT,5.0 out of 5 stars
About notification swiping we can't swipe notification instead we have to delete or drag down for cancel also long six digit password very uncomfortable to open everytime.,5.0 out of 5 stars
Brought for my wife. Good one. Decent camera. I liked the build and it comes with a transparent back case and covered tampered glass / screen guard. Audio i s nice. Overall good. I liked he build mostly..,5.0 out of 5 stars
Everything is good,4.0 out of 5 stars
I have purchased oppo A3s &found 8.5gb internal storage instead of 16 gb. Very disappointed to see this fault. Amazon should not include in sell.,2.0 out of 5 stars
overall product is very good but there is handset not available in the box. its disappointing.,2.0 out of 5 stars
"Picture quality, sound quality and battery life is too good..",5.0 out of 5 stars
"Picture quality,sound quality and battery life is too good.All over this phone is very good quality.",5.0 out of 5 stars
Better than ok product. Love battery for which i baught but camera functions not developed.,4.0 out of 5 stars
Front camera is not that much but ok. Battery life is good,5.0 out of 5 stars
"Good phone. Picture quality is good. My mom loves it. Thank u Amazon. As this was my first online mobile buy, I was hesitating firstly but it was good just like other products of Amazon.",5.0 out of 5 stars
"Very Nice phone in this budget. Amazing battery life and back color is awesome..just loved it. Very light weight , good camera, sound quality can be improved but otherwise it's good",5.0 out of 5 stars
Nice picture quality and display but fast charging missing,4.0 out of 5 stars
Excellent design,5.0 out of 5 stars
Excellent mobile for the price,5.0 out of 5 stars
Best save,5.0 out of 5 stars
I got the product few days before. It is working really well and the picture quality is awesome. Battery backup is fine. It was delivered only after two days of booking. I am really satisfied.,5.0 out of 5 stars
Worth the deal by amazon. Good value for money. Super performance,5.0 out of 5 stars
"Even the though product is rather nice, the item Enlisted in the list of things we were to get with the phone was missing. The list clearly says a headset but it has been missing from the box.",4.0 out of 5 stars
Good,4.0 out of 5 stars
Got my mobile and it's display faulty get replaced within one day after refund again that's also display faulty very worst oppo product pls don't buy this product but Amazon service is great.,1.0 out of 5 stars
