review_text,review_star
"This phone deserves good as it is a great phone with great spces. At same price many manufacture like Micromax, Lava, Intex etc are selling crappy hardware but Meizu is selling a great phone.",5.0 out of 5 stars
 Dead on arrival. Phone switched off automatically immediately after boot.,1.0 out of 5 stars
This is not what I expect from Meizu c9.,3.0 out of 5 stars
Bright display and very good round edge design makes u to feel good.,3.0 out of 5 stars
"Use less phone  ,hard cover etc not available  ,phone hangs alot even phone Gallery feature not available",1.0 out of 5 stars
"Brilliant price point for Meizu C9 , Full view Display/2GB/16GB/ 3000mAh . I really wanna ditch my 4GB/64GB phone for this Fab Meizu phone",5.0 out of 5 stars
Solid touch. Bright and vibrant display. Very responsive...was extremely impressed. Off the bat runs a keyboard called TouchPal which I junked in favour of GBoard by installing from apk before logging on to google. Other than that no bloatware. I didnt test the camera. If this phone is priced 5K then 5K phones have come far in the last few years. Would recommend.,5.0 out of 5 stars
Amazon delivered the phone within 24 hours.,5.0 out of 5 stars
miezu phone. my review about phone.,5.0 out of 5 stars
My first smart phone is meizu m 2 now I changed after a long time best performance from meizu mobiles .it's best under 5k.  I wish meizu X8  and other products in amazon soon,5.0 out of 5 stars
You get all what you can have in 5K budget.,5.0 out of 5 stars
"After struggling with a string of FlymeOS phones from Meizu, I bought this one for the stock Android. Other than the low (16 GB) memory, there i nothing much to complain about. The size is perfect, it has two SIM and an exclusive SD slot AND no crapware! Google services works without fuss, and the face recognition is great too!",5.0 out of 5 stars
I bought it for Brand name and Big screen but FACE ID and camera  features are my favorite now!,5.0 out of 5 stars
This product is totally waste of money.,1.0 out of 5 stars
"5.45 screen with 18:9 ratio, face unlocking and 13 MP +8MP at this rate!",5.0 out of 5 stars
i was confused about buying redmi 6a and enfone lite1... then i decided to meizu c9...i got mobile in week after order... its review after 15 days using this mobile.. its performance is supet duper goood...battery is long living .... design is super and handy ... but audio bass is not good .it means this is not for audiophilis... its more than,5.0 out of 5 stars
I bought it for my mom...!!!,5.0 out of 5 stars
"I bought it for around 4k and at that price range it sure is great. The picture quality is good, it has 13 mp back and 8 front and the quality is good just as you would expect. The build quality is not that great it's kinda delicate so you must buy a hard case. And it's light weight.",4.0 out of 5 stars
"comparing the price, i believe its good deal. Most of features are as advertised. This is utility phone.",4.0 out of 5 stars
The worst product I received from Amazon. It's 13 Mega pixels is only in writing. In performance it's not even five mega pixels. Sound quality is also the worst.,1.0 out of 5 stars
"I am having network problem in this phone.I am having airtle 4g postpaid connection and the mobile shows only 2g ""E""connection. Please suggest a way out tried doing stting change on off and all the process . That same sim card is working fine on all other mobiles.",2.0 out of 5 stars
Meizu is a great brand and produce quality products but it has scanty presence of service centers.Thus in case of a defective set you will go from pillar to post to find a center.Unless it goes full hog to provide basic repair facility in India it has no future in India.Otherwise it is a good product worth a buy.,3.0 out of 5 stars
"Very handy, it has great form factor. I am an iPhone SE user and bought this phone as a second device for a VoLTE usage. However, I was amazed by the performance for this small stock android beast. It is flawless. Not for heavy usage but can be easily used as a second device.",5.0 out of 5 stars
Superb phone at 4999Rs...,5.0 out of 5 stars
Beauty mode for taking selfies is zabardast! Bakike options new and alaghai. Other things you will get to know when you will click one with it. Awesome Experience,5.0 out of 5 stars
Nice,5.0 out of 5 stars
I have found this product very nice. Performance of the front and rear camera is quite good.  IPS display performs well.  Default messaging app is not that well. I would recommend user to use Google messaging app. Go for it.,5.0 out of 5 stars
"Best for price - overall quality, camera and specs. Bought during offer, 5900 only!. Bundled first use jio sim offer makes even better!. Just missing a bundled headphone.",5.0 out of 5 stars
Just a normal phone,4.0 out of 5 stars
Handset hiting problems,3.0 out of 5 stars
Great phone for such a killer price for anyone who is looking for a basic smart phone with loaded features. Bought this as a Christmas gift for my mom and she is very happy with this sleek and stylish phone,5.0 out of 5 stars
I bought it for brand name and big screen but Face ID and camera features are my favourite now.,5.0 out of 5 stars
Nice but battery backup is really very bad I'm using this phone last 4-5 days,5.0 out of 5 stars
Good Value for Money.,4.0 out of 5 stars
This phone reallt has a big 3000mAh battery and biiiiiig display. It's a must buy!,5.0 out of 5 stars
Can't take my eyes off the phone C9! Luv using this performer from Meizu..,5.0 out of 5 stars
I am writing this review after using this phone for 6 months. So far no issue. One of the best budget phone a available in the market.,5.0 out of 5 stars
Best product in this range.,5.0 out of 5 stars
Overall paisa vasool deal. Small packet with big dhamaka. Budget phone with so many features. Face unlock with this price is Chery on top.,5.0 out of 5 stars
This was awesome product in this cost. Absolutely value for money. I had meizu m2 phone that is also one of the reasons to purchase this.Both Cameras was excellent and removable battery is good.,5.0 out of 5 stars
The mobile is so light in body once it fall it would shatter & the earphone jack & back cover are worse . So dissapointed with meizu,1.0 out of 5 stars
Nice  mobile  nice  touch  pad Imidate  response  face un locked .,3.0 out of 5 stars
Loving this product! It's perfect and offers more value for the price we pay.,5.0 out of 5 stars
Best phone in this price segment,5.0 out of 5 stars
Dont buy. The speakers stoped working exactly after 10 days of delivery. The Selfie camera is not up to the mark. Feeli ng cheated,1.0 out of 5 stars
I bought this yesterday and checked all its features its really awesome battery is also good,5.0 out of 5 stars
Nice phone,5.0 out of 5 stars
Good for the price,4.0 out of 5 stars
Totally 93 apps using with 2gb .. No lagging no hangings ... Liquid flew performance,5.0 out of 5 stars
No problem mobile as of now,5.0 out of 5 stars
Meizu,5.0 out of 5 stars
"Value for money, light weight, good battery backup, good display. I think best phone in this range.",5.0 out of 5 stars
Best buy at affordable price. Smooth display and touchscreen. Good battery backup. Easy to handle with one hand. And best for watching movies,4.0 out of 5 stars
Value for money,5.0 out of 5 stars
Good battery life,5.0 out of 5 stars
Great  at this  rate,5.0 out of 5 stars
"Good, worthy at per it's price",5.0 out of 5 stars
Good value for money,4.0 out of 5 stars
Medium quality,3.0 out of 5 stars
Satisfied...:),5.0 out of 5 stars
Completely justify it's value,5.0 out of 5 stars
Seriously damn good phone.,5.0 out of 5 stars
This fone under 4999/- undoubtedly best phone in the market after redmi 6a,5.0 out of 5 stars
"Worth your money, I'd definitely suggest this good phone, it's within affordable price. Picture and sound quality are good.",5.0 out of 5 stars
Good and value of money,5.0 out of 5 stars
Good,3.0 out of 5 stars
Velue for every rupee paid.Great picture quality at 4999.Great look.little bit bulkier side but handy.,5.0 out of 5 stars
NOTHING DISAPPOINTED...ACCEPTABLE,4.0 out of 5 stars
Good in this price segment,5.0 out of 5 stars
Worthful at thie price..,5.0 out of 5 stars
Phone go slow sometimes but design is awesome,3.0 out of 5 stars
phone is really good but there is back cover available in market yet. But overall performance is good,5.0 out of 5 stars
Wonderful products like so much,5.0 out of 5 stars
Specs ho to aise. Facial unlocking at dis price? Front and back cameras are great.,4.0 out of 5 stars
"Poor picture, sound, speed very slow extra 1000 or 1500 you will get the best mobile like mi don't buy it",1.0 out of 5 stars
Phone is ok. Not supporting 4g dual standby (used it with idea and jio) . Mic sound is very low.,3.0 out of 5 stars
i think its not oreo os,2.0 out of 5 stars
Good,4.0 out of 5 stars
Worth it,5.0 out of 5 stars
Good one .but picture quality to poor.over all good,4.0 out of 5 stars
Great phone at this price best at all,5.0 out of 5 stars
Yesss.....as per price it is a good mobile. Battery backup also pretty much good..,5.0 out of 5 stars
Good,5.0 out of 5 stars
"Within a month of purchase, this mobile stops functioning as charging is not possible.",1.0 out of 5 stars
No doubt Phone is good but it in the box's should be a back cover along with headphone,4.0 out of 5 stars
All the things are awesome expect camera,3.0 out of 5 stars
Very Good Product in this Price Range,5.0 out of 5 stars
"Good cellphone, I like it sound is clear and high",5.0 out of 5 stars
I have purchased this phone last week and ye perfect hai. for budget phn hunters,5.0 out of 5 stars
On all three counts it is satisfactory.,3.0 out of 5 stars
Value for money product,5.0 out of 5 stars
This phone is value for money,5.0 out of 5 stars
"Awesome phone,nice battery backup,audio quality average....value for money",5.0 out of 5 stars
C9 the budget king.  Incredibly happy to use this stunner ! Go for this!,5.0 out of 5 stars
Excellent product with at amazing price thanks Amazon,5.0 out of 5 stars
"Camera Clarity is not good, butt phone is performance is nice",4.0 out of 5 stars
"Value for money, must try....",4.0 out of 5 stars
All over the mobile is very good. Every thing is OK.,5.0 out of 5 stars
Touch slightly lags. Rest the phone is good.,4.0 out of 5 stars
Not bad at all in such low price.,4.0 out of 5 stars
Good,5.0 out of 5 stars
It have 13 mp camera.,3.0 out of 5 stars
very nice value for money,4.0 out of 5 stars
Nice,4.0 out of 5 stars
Bahut acha,5.0 out of 5 stars
very good 4g phone under 5k,5.0 out of 5 stars
Good product,5.0 out of 5 stars
I like the performance & battery backup of this phone..,5.0 out of 5 stars
Average,3.0 out of 5 stars
Excellent phone in affordable price,5.0 out of 5 stars
Nice Product,5.0 out of 5 stars
Display touch one not working  20days back,1.0 out of 5 stars
Best mobile and good delivery through  amazon.,5.0 out of 5 stars
good product,3.0 out of 5 stars
Awesome phone in this price range,5.0 out of 5 stars
Best budget phone,5.0 out of 5 stars
Value for money,5.0 out of 5 stars
Value for money good product,5.0 out of 5 stars
Like,4.0 out of 5 stars
Nice,4.0 out of 5 stars
Nice,2.0 out of 5 stars
Waste mobile pure quality,1.0 out of 5 stars
Good in camers. Very smat phones,5.0 out of 5 stars
worth for money,4.0 out of 5 stars
Sound is better,4.0 out of 5 stars
Good,5.0 out of 5 stars
Great value for money phone,5.0 out of 5 stars
Ok,4.0 out of 5 stars
good phone in low budget,4.0 out of 5 stars
Good product for price,4.0 out of 5 stars
Camera could be better,3.0 out of 5 stars
More stars needed....,5.0 out of 5 stars
Decent mobile,4.0 out of 5 stars
Good quality product,4.0 out of 5 stars
Slow,2.0 out of 5 stars
Nice,3.0 out of 5 stars
