review_text,review_star
- The reason to purchase fitness band is to get results ......,5.0 out of 5 stars
It gives wrong BP values. I understand their could be some variance. But absolutely wrong values doesn't leave me with a positive feedback.,1.0 out of 5 stars
Excellent product!! Very Good band for a starter!! Coaching tips are amazing the Coach keeps you continuously motivating and keep the status updated about ur Goals!!,5.0 out of 5 stars
The over all experience so far is good with the step counter and pulse rate. The best part is the free subscription and the team behind have the knowledge and help you alot in achieving the Health Goals. Please go for a normal band with subscription as that would a better idea. Goqii is unable to provide the accuracy in BP/Vitals which was the main feature being marketed here. The results of Blood Pressure are highly inaccurate. This certainly needs an improvement over current version of software.,4.0 out of 5 stars
"After I received it, it was quite a disappointment. The BP gauge is inaccurate to say the least - off by over 20 on the lower reading. And the other health information that I look for in a Fitness tracker is the Sleep pattern monitoring, which is not provided. The steps counter was accurate and the colour display attractive. But even the mode button selection was not that friendly nor was the instruction guide. I see there are so many 5* & 4* reviews for this product, maybe my expectations are different. So do try it, but make sure if you do not like it, return quickly - I missed that too!",2.0 out of 5 stars
"Good product for it price, however i would like to see following limitations removed to score it higher",3.0 out of 5 stars
"First day I didn't feel impresssed of this product. When I started connecting with app things changed reverse . I got more excited on the reminders and coach guidance. Motivation is amazing also my coach read my food logs , exercise logs and advice me regularly . Best product I bought so far in my list",5.0 out of 5 stars
"It’s very good buy ,",5.0 out of 5 stars
This is the second band which I exchanged coz the previous one was damaged. Yet again I don't feel it's brand new as I can see a crack mark below the left corner. And the seal was previously broken with cellophane tape wrapped on it. Totally dissatisfied with this product n Amazon,1.0 out of 5 stars
"What I love the most about GOQii is the eco system where it’s the whole community of people who love fitness, quite an engaging and interactive platform. Blood pressure monitor is a great revolution in a fitness band. A big thumbs up to the GOQii team,",5.0 out of 5 stars
"Its a good to have gadget for fitness loving people. Gives good information about steps covered, sleep, & heart rate. Can be worked upon a bit for more accurate blood pressure details. It would have been a better deal if extra strap been provided along with the original band.",4.0 out of 5 stars
"after usage of 1 month, following are the observed pros & cons of this device",3.0 out of 5 stars
Value for money .great Deal .,5.0 out of 5 stars
"The basic purpose of any fitness band is to approximately track your daily activities which most of the mass products easily do. The question comes then, why GOQii?? ...",5.0 out of 5 stars
"A goal oriented approach to health management. Along with the product, you'll need a little determination and disciple. I've been losing a kilo a week gor the past 8 weeks. Thanks to small changes to lifestyle, measured at the right intervals, along an encouraging coach. Pretty happy with the results.",5.0 out of 5 stars
"Not working properly,Blood pressure results are not adequate,due to this giving tension.So I want to return but return windows is closed within 10 days after delivery instead time one month,this is a cheating with customer.",1.0 out of 5 stars
"Good fitness tracker at reasonable price , many features like 💓 rate , steps, BP, sleep monitor which are more helpful for daily routine.",4.0 out of 5 stars
"Not as expected. I received a damaged non working band. Then I ordered for replacement. After I received the replacement, then I tried to connect to my mobile, it asked for activation code. Even though you don't want the personal coaching and want to use the band still you need to activate the membership. This is cumbersome. Also I didn't like the display. Does not look classy. I returned the replacement order as well. Mi band 3 is better than this and price is also same.",1.0 out of 5 stars
"It is an awesome activity tracker. It has made me follow healthy eating habits. The motivation it gives is ultimate. I am able to exercise and walk on a daily. No excuse, no fatigue. Hats off to you GoQii. 😊🙌",5.0 out of 5 stars
Using this product fron 2 months. Product is awesome. Coaching which comes with the product helps you to achieve your goals.,5.0 out of 5 stars
"Average quality and accuracy, only reason I think is the coaching plan. But after purchasing it, I came to know that we can link other trackers to Thier app, so this one is not needed. Coaching plan also depends upon coaches, the one I got initially wasn't good, but i realised it after 4 months when I changed coach due to some issue with earlier one,I noticed this new one is a real coach who is really interested in my fitness and goal, so this 4 star is because of that new coach only, otherwise it would have been 2 to 3 max. One thing which I didn't knew earlier and that matteres to me was that you can have verbal communication only after 15 days as per policy, and coaches and experts take it very seriously if you schedule calls earlier like 10 days, even if you miss few calls on schedule.",4.0 out of 5 stars
I have been using the band for about 5-6 months now. Here is an honest review:,2.0 out of 5 stars
"An excellent watch for this prize. Stylish watch with bright screen and accurate heart rate measurement. I noticed two issues: one, the watch keeps disconnecting to connect it again, I need to clear Bluetooth catch; two, the blood pressure measurement is not accurate as it only shows low pressure even after the workout. Otherwise one of the best available in the market today!",4.0 out of 5 stars
loved the design and aesthetics. was eagerly awaiting the launch and derived utmost satisfaction once got this new GOQii vital band. Thanks for motivating me towards a healthy lifestyle.,5.0 out of 5 stars
The other details were accurate. But issue I faced was blood pressure. It showed 121/64 and less on other two instance . But measured manually and with other digital device it was not the one as stated by band. Error was more than permissible.,3.0 out of 5 stars
Review After 3 months,2.0 out of 5 stars
Really disappointed with GOQii. I had a great impression on GOQii since im using GOQii v2. With that impression I bought GOQii vital and i am sorry to say that the reading if GOQii vital is really wrong. I didn’t even wore that watch and it was showing I already walked 60 steps. Next is the Blood Pressure (Bp) its not giving the correct reading. Im telling this because i have manual BP machine. Sad to return it and not going to use GOQii anymore unless they update it,1.0 out of 5 stars
"Worst product, it even not deserve 1 star. I am order it to gift. Received watch failed to charge, dispaly was not working. Successful y got replaced  with in 2 days..G8 service and support of Amazon. Replaced watch didn't run 48 he and stop working  ..again tanks to Amazon support and refund policy, which help to get back my hardcore money. Earlier I have bought Mi3, no issue with it. Ba naam baday darshan khotay. Goqii, there is no point to provide karma point, coach and so so if this China made band is not up to the mark.",1.0 out of 5 stars
"I have been using this Vital wristband. I use it to measure heart rate and blood pressure along with steps I walked. I take all these measurements literally without examining accuracy. In fact, I don’t know how accurate this wristband is for above mentioned uses. This wristband is not FDA approved. Period. However, I wear it in day times and enjoy using it. This is just a fitness band and not a medical device. So, measure your Blood Pressure and Heart Rate and keep it for the sake of keeping it. It has no real value! Enjoy your steps.",2.0 out of 5 stars
I purchased this band yesterday. Upon opening it first time there were already 3000 odd steps calculated in it. How is it possible ?,1.0 out of 5 stars
There's a serious trouble with the charging unit. Even the replacement band stopped charging on second charge.,1.0 out of 5 stars
"I'm not satisfied with the product. Doesn't give correct reading of steps shows one reading in the app and different in the tracker, time format keeps changing from 12hr to 24hr, Sleep tracking doesn't work properly. Frequent connection issue with Bluetooth connection. Overall very disappointed",1.0 out of 5 stars
"Compared to similarly priced Mi band, GoQii band is very poor, inaccurate and counts false steps. Even distance travelled sitting in a vehicle is counted as 'steps', random number of steps get added even of you are sitting in one place and doing nothing , which makes this band hopelessly inaccurate and useless.",1.0 out of 5 stars
The main advantage of Goqii is that it focuses on the main thing that a fitness lifestyle requires. Commitment to a healthier lifestyle and motivation to keep doing it.,5.0 out of 5 stars
Nice Coaching and good band.,5.0 out of 5 stars
Some problem with the Seller Cloudtail...delivered first one with used scratch card...replacement done with a faulty one with battery lasting for 12 hours only...finally GOQII replaced the machine...working good now...approximately 4 days of battery life,3.0 out of 5 stars
"GOQI is one of the best bands I have experienced. The best facility is free coaching which is really amazing. Easy sync of step.count, sleep data, heart rate and colour display is fantastic. The step count and sleep data is is accurate. Charging is easy and faster.",5.0 out of 5 stars
Pros:,3.0 out of 5 stars
"Blur free colour display. Brightness is good enough for use it in sun light. Step count and heart rate measurements are high accurate. But the best thing is coaching. Expert personal coach is always available, who can give a good diet and training plan which helps to stay fit and track your fitness as well. Goqii health store is awesome, healthy food to fitness accessories are available with good discounted price.",5.0 out of 5 stars
Best fitness band and best coaching experience till now.,5.0 out of 5 stars
"I recently purchased this device. I have always heard a lot about GOQII, but honestly I am disappointed. There are few things I'd like to point out -",2.0 out of 5 stars
"The display is great, the vitals are helpful and the best part, it tracks our sleep and tells us how our sleep pattern has been.",5.0 out of 5 stars
Great product! Value for money. Vitals are accurately recorded. The app provides a complete fitness ecosystem as compared to other fitness bands,4.0 out of 5 stars
Battery back up is nice. Step counting is not accurate but it is ok. One more thing goqii should improve is automatic BP and heart rate monitoring as it becomes irritating after few days to measure manually. Google fit is also missing. It shoud connect with google fit data  display quality should be inproved. Live video is the best feature which i liked.,4.0 out of 5 stars
"Look : Nice. Comfort Wearable. Steps, Heart rate showing proper. Blood Pressure absolute WRONG. Lower always shown around 60-65. How's is it possible!!!!! Customer support said it shall be perfect after firmware update. But, no update and still showing wrong. Further, no response from customer support.",3.0 out of 5 stars
Great product to keep track of fitness with support provided with the app to follow a healthy lifestyle. Worth it if getting fit is your aim.,4.0 out of 5 stars
Received same defective piece twice. The band is nice but if you are giving used and defective (scratch Mark in bottom part) products in the name of sale then it's not ok,1.0 out of 5 stars
The product is something different from the others. The BP monitoring is a good feature,5.0 out of 5 stars
Good product but the battery life is very poor. Otherwise it works as it should as a fitness tracker.,3.0 out of 5 stars
"Received a replacement as GOQii watch was NOT linking to the tracker app, however the new one too doesn't link to the tracker app, a horrifying experience #UnprofessionalGOQii. Amazon shud black list such products. The customer care people are mostly non exsistant few available r clueless and cudnt help except suggesting replacement, #UnProfessionalGOQii. Will wait 24h and then proceed to complaint in consumer forum.",1.0 out of 5 stars
Good product with excellent customer care support,5.0 out of 5 stars
The best,5.0 out of 5 stars
"True value for money, providing reasonably accurate readings for all parameters. Especially, the sleep pattern is accurately captured. Liked the sleep graph especially. Battery life could be slightly better, but lasts for 5 days. Coaching is a unique concept which I have been benefiting the most. No second thought on renewing my subscription. Happy customer ☺*",5.0 out of 5 stars
"Kindly note no Activation code is given along with the product which is essential to link with the Goqii app. kindly provide with the code as soon as possible. My mob no. 9496166634,",4.0 out of 5 stars
"Awesome watch. Love the BP monitor function, Fairly accurate reading. Two star less for the seller. Seems the seal was broken and there was a scratch on the display.",3.0 out of 5 stars
I purchase this product on last week.,3.0 out of 5 stars
I find the tracker extremely useful  as it reminds me at regular intervals to get up and walk and reach the target of 7 km daily.(Which I have set for myself).Besides this I also have the benefit of monitoring my B.P/Heart rate.To top it all I get the advice of fitness experts.I have been using this tracker(Vital) for the past 3months.,4.0 out of 5 stars
It app look like an ad page. Lot of advertisement. They forgot the purpose of the band . Very difficult to moniter the activities. Application lost connection to the band very frequently. Bp monitoring is just waste. Inaccurate and inconsistent. Realy disappointed. Only good thing is it look nice.,1.0 out of 5 stars
Good product,4.0 out of 5 stars
"Blood Pressure measurement is in accurate, generally there is slight difference. But there major failure of device. My BP buy manual instrument showed 170: 110 where watch was showing 110: 69......",1.0 out of 5 stars
"Received device before 3 days, steps recording is getting reset to zero..There is issue with device..Goqii team should take this concern seriously else their Brand image will get shattered.",1.0 out of 5 stars
Motivating product,5.0 out of 5 stars
very usefull and very accurate result thanks goqii.,5.0 out of 5 stars
There is a lot of deviation when I measure BP using a manual BP apparatus and use this monitor hnec cant rely on the readings of this one even during exercise,2.0 out of 5 stars
The product ordered was for gifting someone. The three month activation card which was along with the fit band was already scratched and hence the code when entered it shows invalid.  I tried contacting GOQII customer service but unable to receive any help. Highly disappointed with my first order.,1.0 out of 5 stars
"At this price point, this product is value for money, providing reasonably accurate readings for all parameters. Especially, the sleep pattern is accurately captured. Battery life could be slightly better, but lasts for 3-3.5days. Value buy.",5.0 out of 5 stars
Fake footstep count,1.0 out of 5 stars
One of the best band,5.0 out of 5 stars
Found box seal broken. Activation code is scratched. Device not switch ed on. Pathetic experience.,1.0 out of 5 stars
Wonderful product .....enjoying battery life. However no one contacted for coaching......still waiting,4.0 out of 5 stars
Band is not working and this look used one ..I have gifted to my son on Diwali ..so we opened the packet on 8th nov and tried to charge the band but it is not charging and there is lot of scratches on band ..my humble request is to change the product ..pls revert,1.0 out of 5 stars
