review_text,review_star
"Really indeed a man who just not let his dreams succeed but make others to dream big, follow the path of unknown world. Have courage and never worry on failure. Success is not just a word it's a vision and mission which everyone should dream a work towards it. A salute to such a great personality. We as a country would miss him while he is no more with us. But his ideologies are to be followed in every step of our lives.",5.0 out of 5 stars
"This book consist of events of India's President's life alongwith some illustrations in between. The writing is easy to understand which makes it all the more interesting. The struggles, the life of Mr. Kalam is spectacular and truly inspiring. I loved it and would recommend it to everyone.",5.0 out of 5 stars
"Loved the way this book is written. simple language, detailed descriptions and a legend in the soul of the book. I admire Dr. Kalam and this book touched my hard so deeply like other books of Kalam Sir. Illustrations are amazing.",5.0 out of 5 stars
A must read book for everyone irrespective of age or stature. APJ Abdul Kalam remains my inspiration forever and his words indeed IGNITE the FIRE to dream and achieve the dream. In my sense he is a KARMA YOGI...bow down to the humble but yet so strong and powerful soul.,5.0 out of 5 stars
A Masterpiece from APJ Abdul Kalam again,5.0 out of 5 stars
"One of the best books to read, it not only keeps you stocked to the book but motivates you to the core. Abdul Kalam such a humble person. Our country needs more and more people like Kalam",5.0 out of 5 stars
It was one of the best book i have read ....every Indian must read ths book to know and adore the wonders our leaders have performed.......,5.0 out of 5 stars
Inspiring and motivating..really admire the simplicity of this great person of our nation. Our country needs more leaders like this.,5.0 out of 5 stars
"Simple language, good for beginners and inspirational too. We get to know how a small village boy become a so much successful man.",4.0 out of 5 stars
It's a good inspiration for me,5.0 out of 5 stars
One of the many best written works from the great personality.,5.0 out of 5 stars
One of the best book of Dr Kalam! Must read and get inspired!,5.0 out of 5 stars
This book effortlessly lifts you from being normal to a special person with infinite resources of energy. A must read to discover the path to glory.,5.0 out of 5 stars
The language used is ultra simple and more simpler is the writer. Reading this book gives you a feeling of being in a meditative state. May god bless his soul!,5.0 out of 5 stars
great book,5.0 out of 5 stars
Read this book for understanding what humility means. The most underrated human quality amplified by a genius personality in this book.,4.0 out of 5 stars
A truly inspirational story that tells that achievers are not born hero but an ordinary people solely driven by passion for something great...,5.0 out of 5 stars
Book inspires to work hard in whichever field you are and have mission in life. It also instills a feeling of patriotism.,4.0 out of 5 stars
V nice,5.0 out of 5 stars
Good,5.0 out of 5 stars
Plenty of ideas to make bright life .,5.0 out of 5 stars
"This book is really amazing, taught us to dream big and how a dream can come true. One of the must reading books.",5.0 out of 5 stars
Treasure everyone must possess,5.0 out of 5 stars
Should read,5.0 out of 5 stars
Excellent Book. Written in simple English. The young children MUST read and get motivated. I strongly recommend this book especially for the student community.,5.0 out of 5 stars
A must read for anyone who wants an insight to Kalam Sir's devotion for nation building.,5.0 out of 5 stars
"Nothing to write, All of us to read.",5.0 out of 5 stars
"A very nice book.A good autobiography.A.P.J. Abdul Kalam is really a ""BHARAT RATNA""",5.0 out of 5 stars
"It is a small book speaking about an extra ordinary journey of Kalam Sir.The book though is crisp version of the full life bit interesting to read.I completed it in one sitting.It is a must read for children and youth. The illustrations are beautiful.Overall a besutiful book with a beautiful message of ""Following your dreams and no matter how hard it seems,all goals are achievable with hard work and resilience. ...",5.0 out of 5 stars
its ok,3.0 out of 5 stars
A great book written by the great man. Many inspiring things to learn from him. The book is quite motuvational as well. A must read for all.,4.0 out of 5 stars
"A P J Abdul Kalam the son of the soil, scientist, rocket engineer & most importantly an amazing human being & teacher. This book provodes a look into the life of Kalam in a nutshell. Currently reading Wings of Fire, which is much more detailed. But yes an amazing book & a true inspiration to youth. :-):-):-)",5.0 out of 5 stars
I love the way kalam sir has explained his biography in book. The story has given us a good aim and vision to achieve... Hence I will really like to read such books which make us more inspire about our nation and peoples..,4.0 out of 5 stars
"Simplicity, as we could see in Dr. Kalam, this book has that element too. Easy and quick read yet a lot to learn. Very nicely put together.",5.0 out of 5 stars
"Dedication of Dr. Abdul Kalam is unbelievable ..Despite of coming from small family achieving his dreams is really big thing and his down to earth nature ,learning from other people and always ready to learn thing this learning attitude is the best thing throughout his life.",5.0 out of 5 stars
A salute to late father of nation who served the country by fulfilling his dreams and vision is amazing to read. I still feel sorry that we cant make an ultimate movie on kalam sir where we have so much to show to people of this country that how can one man gave the direction to india's vision.  i wish i could have make  that  what i have read and cant stop imaging.,5.0 out of 5 stars
Dr APJ kalam was an incredible man . He had incredible journey. Reading through his life was interesting and inspiring. Great read !,5.0 out of 5 stars
"Life lessons of a great personality , giving  success formula to fellow countrymen. Storey of  achievement of a Child rising from lowest strata of society to the highest position of country, winning of heart of  crores of people is very much inspiring .",5.0 out of 5 stars
It's a brief biography about Abdul Kalam sir.Its inspirational and motivational book for all youth around India to dream something.,4.0 out of 5 stars
Blood growling motivational writting.,5.0 out of 5 stars
"Effective life story of Kalam sir in short 10 chapter. Very effective and inspirations given in  many form of his hard work and direction given by his teacher. To shape his future, from student to scientist and to president of India.",4.0 out of 5 stars
