review_text,review_star
Received it looking like it had been thrown in a box (with fake cable and plug).  Phone doesn't work at all in only 3 days.  Returning it.,1.0 out of 5 stars
this phone did not work correctly. it constantly buzzed when i was on calls and no one could hear me.,1.0 out of 5 stars
"I was scheptical about ordering this due to the bad reviews, but I thought I would give it a try. Although the phone arrived in record time and looks brand new, the battery only holds a charge for about 2 hours, and dies at 40%. Seller was no help. I am returning, but will give them another shot. I'll update when the second one arrives.",2.0 out of 5 stars
"I originally gave this phone a good review (see below). Bought it in May, it is now October. The battery started overheating so ordered a new one. The overheating battery fried the screen so had to replace that also. Already the new battery is overheating. The screen is extremely sensitive so it frequently goes on hold or turns on the speaker phone while I am on a call, just from a slight touch to my face. Also, the phone does not hold a charge for very long. It seemed like a good price but it only lasted for 5 months before I had to have it fixed. It now looks like it's pretty much done for and I will need yet another phone. Essentially, I have rented a phone for 5 months for $150 plus the repair bill for the battery and the screen. About $50/month... seems a little high.",1.0 out of 5 stars
Bought it to replace a broken phone(android). Couldn’t activate it. Was told by Sprint customer service the reason I cannot activate it was I didn’t start my plan with this model - I started my plan with a higher model. So they cannot activate with anything less that what I started with in my plan. Really?! Too much work to return it. So I let my toddler use it as an iPod (using wifi only). Nowhere did I find any information from people or reviews about the reason I couldn’t activate the phone. So make sure you check with your service provider before getting any replacement phone from anywhere. A lesson learned.,1.0 out of 5 stars
"I bought this phone to send it to overseas to a family member. Therefore, I have read every detail the seller wrote about this phone. It was stated as ""fully tested and worked"" ""apple certified"" ... etc , but none of these are true I'm my case. The battery of my phone can't stay on for 5 minutes phone call. Please buy from other sellers.",1.0 out of 5 stars
"What a Horrible Phone. I tweaked all the settings to give a longer battery life (turned off all location services and all notifications) and the phone goes from 100% Full Charge to 31% in just under 4 hours of browsing, messaging and texting ONLY. At 31%, it shuts off and when I try to restart, it shows 0% battery.",1.0 out of 5 stars
"This iPhone didn't work when I bought it - Be careful before buying ""Certified Preowned Items""",1.0 out of 5 stars
"We are particularly pleased with this refurbished phone. After much research and prior excellent experiences with Apple refurbished products, we decided the 5s 16 gb was the way to go. This phone appears to be showroom fresh in every way. We held our breath as the previous refurbished I phone 5 obtained through Amazon was thoroughly unsatisfactory. (This was from an outside vendor) The last phone had large gouged on the top sides and some sort of Smith on the case which we couldn't remove.",5.0 out of 5 stars
"I bought this phone for my niece for Christmas. Before I purchased it, I made sure it started that it was compatible with Straight Talk. I bought a sim card and one month of service from Straight Talk for the phone. On Christmas when my niece tried to activate it with Straight Talk, they said that it wasn't compatible. I have reached out to the company with no return call or email. I just wasted my money either on the phone itself or the monthly plan I purchased from Straight Talk. If the situation gets resolved I will change my rating. Right now I'm not a happy buyer.",1.0 out of 5 stars
"This started out fine then within 3 months the battery or battery connection is a major problem . Once unplugged and at 100 charge, it last 2 min and phone shuts off. Tried everything and it all just shuts down till you plug it in, it comes back then shuts down again! Guess it was turned in for a reason! You get what you pay for I guess!",1.0 out of 5 stars
"Beware refurbished models. The first phone i received had some old sun-damaged screen, the edges were yellowish, and center had a obvious red blotch. A day later I noticed that the frame was actually bent wtf? Sent it back and bought a new one.",3.0 out of 5 stars
"Agree with review by Chris Robotham. The item description specifically says this is a GSM phone compatible with AT&T networks. The phone I received is marked as a Verizon phone for CDMA networks. This is the exact opposite of what the product description says. The phone appears to work (so far) but is not the item described. I am keeping the phone, but would not buy it again.",2.0 out of 5 stars
Great phone.  No problems yet and not anticipating any.,5.0 out of 5 stars
Great buy had it for a long time before getting the iPhone 7,5.0 out of 5 stars
"I am very satisfied with my iPhone.  There is a lot to learn yet, but I am amazed so far at what i can do with this cell phone.  i have all my phone contacts listed and I like the crisp reception I get on long distance with AT&T.  I have added some games that I enjoy playing on the computer.  The reception is really good, with  bright, clear colors..  Learning new things every day.  5-star rating.",5.0 out of 5 stars
Purchase this phone for my husband to use while deployed. This device is very crappy. Also I am using Apple chargers the phone still will not hold a charge. It will jump from 100 to 45 Percent in less than 10 minutes. Then it will turnoff which makes me think that there is a problem with the battery,1.0 out of 5 stars
"It's all wonderful, just didn't get the charger with it. It's a good thing I had one with my old phone. Other than that, it was a good purchase.",4.0 out of 5 stars
,1.0 out of 5 stars
"very disappointed with this product... it said refurbished which usually means a new battery and such but i have to charge my ""new"" phone 3 times a day ... refurbished really means i wiped if off with a rag and put in a box with a gas station charger after i factory reset it",1.0 out of 5 stars
Phone is fine but the charger did not work.,3.0 out of 5 stars
Its not even 2 months that i have it and it started freezing. The camera is also blurry.,1.0 out of 5 stars
I bought this phone because I was going on an overseas trip. Actually bought 2 phones but only one from this vendor. The phone was defective as it would not hold a charge. I was very disappointed as I could not communicate with the US with the phone dying with 30 minutes of being disconnected from charge.,1.0 out of 5 stars
"This phone lasted approximately 2 months, the speaker volume on my phone calls didn't work. THe phone was very slow. I saw that the glass was peaking out of the frame. At some point, it barely moved from screen to screen, Highly disappointed but I learned my lesson.",2.0 out of 5 stars
"Works almost like new, which is to be expected from a ""Certified Refurbished"" product. Only complaint is the power button; only the left half of the top button works, and pressing the right side has no effect. This has proven to be a minor annoyance, but when you consider the comparatively low price of this product, that's a drawback I'm more than willing to accept.",4.0 out of 5 stars
"Phone did not work: home button did not work at all and phone turned off randomly even when fully charged. Since it was ""Certified Refurbished,"" I find that unacceptable. Buy at your own risk. Also beware, the positive reviews seem fake. I would normally rebuy a defective product but given my experience I'm going to go another route when buying a new phone.",1.0 out of 5 stars
"The iPhone 5 is great. No scratches and everything turned out well. I wish it had a tool where I could open up the SMS card holder/opening. Overall, I love my new phone. I'm just having trouble with Siri.",4.0 out of 5 stars
Battery would not hold a charge,1.0 out of 5 stars
This phone was beat all to hell. Chips and scratches everywhere. Doesn’t work either will be returning!,1.0 out of 5 stars
Battery does not stay charged overnight.  Disappointed with battery not phone.,3.0 out of 5 stars
"Back camera doesn't work. I bought the cellphone to bring it out of the country as a gift and the camera doesn't work. Now It's too late to return. Embarrassing experience. Don't waste your time here. The cellphone also doesn't come inside an Apple box, no headphones nor original Apple charger.",1.0 out of 5 stars
Thank you. Delivery in estimated time the package arrived in excellent condition and working excellently and is just what you order. I recommend it 100%,5.0 out of 5 stars
Seen a lot of bad reviews but it’s been a month & my daughters phone still works perfectly,5.0 out of 5 stars
