review_text,review_star
"I own 2 pair of Crocs women's Freesail and figured I'd try a pair of the classics.  The Freesail are much trimmer & narrower in width than the  women's Classics.  I love both.  The Classics are quite a bit boxier and wider in width  than the Freesail and the Classics seem to have a bit more  cushioning on the bottom.  Both work well for my problem feet which are usually sporting the Alegria brand shoes/sandals  for work.  However, on weekends and downtime, I prefer Crocs.  I have hammer toes  and deteriorating foot joints and have lost most of natural cushioning on the bottom of my feet making it feel like I'm walking on marbles. I typically wear a women's 8/12 or a European size  39.  In Crocs, I always  go a size 9 for the length.  I love both the Freesail and Classics and would urge anyone with ""touchy feet"" to give these a try.",5.0 out of 5 stars
"These are my first crocs.  I have avoided crocs because they are big clown shoes in appearance and I didn't want look like a ...you know.  I finally bought a pair because I am now swimming regularly and needed shoes that could get wet at the pool.  I hate flip flops, which abrade the tender area between big toe and second toe.  Well, I bought the crocs and they are awesome!  Very comfortable.  I have arthritis in my feet and the crocs are surprisingly supportive.  I wear them for long drives.  They are great at the dog park or in the back yard where I am likely to step in something that is very difficult to clean off sneakers but comes off easily with a hose or a wipe from my clogs.  Best of all, I look cool in them, and I know this because the younger generation is impressed.  Not the 20 somethings, who tend to roll their eyes, or my contemporaries who look askance and ask if I have been gardening but the stylesetters of tomorrow.  I wore them to the beach and a toddler and a four year old both patted my shoes. Now I want crocs in every color of the rainbow.",5.0 out of 5 stars
"I LOVE THESE THINGS!! They're stylish and functional. These shoes are the future. It is not hard to pull them off with any outfit. Wear them to school, wear them to run errands, wear them to church! I sure do! Nothing can compare to these wonderful shoes.These shoes really show individuality. With a variety of colors and endless shoe charms, you can express who you are in a unique and fashionable way. Be a trend setter with Crocs, the shoes that should have never gone out of style!",5.0 out of 5 stars
"I never, ever thought I'd wear Crocs, but here I am.",5.0 out of 5 stars
We have been buying crocs for a long time and this time we received crocs that were marked the right size .... but one was significantly smaller and more narrow than the other. This was something we only realized after leaving on vacation. Our 12 year old constantly complained that the one was too small and the other was too large. He had to wear them until we could find a store to buy him flip flops and so we couldn't return them by the time we got back as they had been worn. Not sure what happened here but I have them and they are definitely two different sizes...,1.0 out of 5 stars
literally best purchase of my life. Everything went well was packaged very nicely. They looked great with my prom dress. I couldn't have asked for anything else,5.0 out of 5 stars
"I bought this classic fit (wide) shoe in size 6 men to get a size 8 women's.  It fits perfectly.  Most comfortable shoe or clog ever.  They are also ugly but they are so ugly that they are cute. To be clear, I bought these to wear with fluffy socks so I have the room I need (my feet are not wide) when wearing the fluffy socks. The strap can be in the back or in the front.  I like having it across my heel when wearing socks.  Feet don't sweat thanks to all of the vents.  You can also put cute little Jibbitz on them that people will notice and take their attention away from the ugly shoes.  You can wear these things all day, 10-12 hours and your feet and legs will hold out.  I got the original classic style because so many people online complained about the soles coming apart on the newer style.  So buyer beware, if you try them you will love them.",5.0 out of 5 stars
"What happened to the Crocs? I bought these as a relief to my feet after a day of hiking and camping.The sizing has changed considerably. The strap is 1 inch shorter than the actual shoe pushing and cramming your feet to the front of the shoe. Why Crocs, why was this design approved?  I bought two pairs, one for me, and one for my husband. The inside tread on my husband's pair was smooth and soft. The inside tread in mine were lifted and sharp like tiny needles. I could barely walk in them after a day's hike. These are the most uncomfortable pair of Crocs I have ever worn. I am very disappointed in the poor design and uncomfortable quality.",1.0 out of 5 stars
"I ordered 2 pairs of these crocs classics, cerulean and pepper. Pepper is a true red (I was worried it might look pink) and the cerulean is very blue, not purple at all. I usually wear men's size 8.5 shoes and an m8/w10 fit when tried on in a store. However I read lots of reviews that said the sizes were very inconsistent. I need these soon so don't have time to mess with exchanges so I ordered m8/w10 and m9/w11. They were exactly the same size. Width, length, everything was the same, it was weird. I think they fit more like a m9/w11 but that's fine. I wanted/expected these to be pretty loose like my old ones from over a decade ago. These are pretty comfy like I remember and hopefully they last like my old ones did. I didn't find them shiny, uncomfortably small/narrow or the nubs inside to be too painful, which were all common complaints. Overall I say try them on in store first especially if you're in between sizes. I have high hopes for these. (These are the made in mexico ones by the way)",4.0 out of 5 stars
"Awesome as long as you order a full size up and allow for a short break-in period. Lightweight, waterproof, comfortable & come in a zillion fun & crazy colors! What’s not to love.",5.0 out of 5 stars
I would never recommend the now-a-day Crocs clogs to anyone,1.0 out of 5 stars
"I have worn Crocs for years, but the well-made ones that came from the USA (Colorado) many years ago.  These made in China ones are a harder plastic and extremely wide so that my feet slip around in them or the shoes fall off.  They also aren't anywhere near as comfortable due to the harder plastic, even if they did fit properly.  I have already started the return process, very disappointed since after many years, my American made ones are finally starting to wear out and need replacing",1.0 out of 5 stars
"I was hoping these would fit like the Classic Clog Crocs I already have but, they still feel too small.  It's the third pair I've ordered lately and can't seem to find the fit I was hoping for.  Ended up donating these and the others to Value Village since I had worn them a couple of times.  None of them seemed as roomy as the ones I have almost worn out.  I love Crocs but am frustrated trying to find the right fit!",1.0 out of 5 stars
"I remember thinking ""it's just another stupid trend thing, and they look ridiculous""...",5.0 out of 5 stars
"These guys are amazing.  For years, I avoided them despite of the hype some time ago.  The funny thing is that I was always looking for a shoe that can work as a slipper because that would be so practical for traveling.",5.0 out of 5 stars
"Because of wide feet, I've been afraid of ordering these popular shoes.  Over the years I've had to return or give away shoes I carefully chose, cos only the front of my feet are wide (like a duck). Have to have some sort of strap, or tie on.  My siblings would urge me to try them, so I took the plunge. The 1st pair had to be returned because of a simply mistake at the factory; the wrong size was put in the box.  The replacement arrived yesterday, and I could turn cartwheels, if I could. So comfortable, roomy, and no breaking in period. With regular leather shoes, the little toe on my right foot is still squeezed; with the Crocs, no problem!  And it keeps my feet cool! These are officially my fav shoes. Plan to buy more in diff colors.",5.0 out of 5 stars
"Never thought I'd buy a pair of crocs. I've been making fun of them for the past decade but when we moved into a new place with hard floors, I needed something to wear around the house. I stand/walk a lot at work and wanted something that was very comfortable.",5.0 out of 5 stars
"Where have these been all my life?  I first discovered a cheap copy of these at Walmart, and I loved how they fit and how easily they slip on and off.  So I was pleased to find the original brand here on Amazon.  I live in the desert, and our home is kept on the warm side too, so I definitely need models (like this classic model) with the holes in the side and top - the one thing I didn't like about my cheap knock-offs is they didn't have those holes, and my feet (with or without socks) were uncomfortably hot and clammy inside the house.  Another good feature is being able to toss the shoes into a bucket of soapy water to clean them after slogging in the mud outside.",5.0 out of 5 stars
"These are a cheap Crocs.  They have no arch support like the better Crocs do, the rubber is hard and not flexible and soft like other Crocs.  And they are much too large for a womens B width foot.  In fact, these Crocs actually hurt my feet and legs when I wore them out.  I will never wear these Crocs again.  In fact, I am taking them to Goodwill today and I just got them!",1.0 out of 5 stars
"I never thought I would be writing a negative review for Crocs, as they have been my default footwear for many years. I have easily owned 6 pairs over the last 10 years, and I love them for many reasons......until this last pair. Actually I purchased 2 pairs, one black and one blue, as it never hurts to have another color for special occasions (although in this case, it does hurt). After wearing this most recent pair for 10 minutes, I realized my feet were feeling uncomfortable. Thinking a little break-in time might be needed (though that has never been the case before) I continued to wear them but after several hours I had to admit that my feet really did hurt. Upon further examination, I realized that these Crocs were about 1/2"" shorter than my old pair. I also noticed that the nubs on the inner sole that are molded into the Crocs were quite a bit sharper than I ever remembered from my older pairs. The appearance is identical with my older pair with the 2 exceptions mentioned above. Now, after repeatedly trying to wear them as my daily driver, I keep looking forward to taking them off after only a couple of hours. Perhaps they were molded from a different material that shrank, or that the forms for the molding process are smaller. Either way, I now have 2 pairs of Crocs that I don't want to wear. I wear size 12. Always have. Do I now have to move to a 13 (no half sizes) and risk them being too big? What I do know is that I am unhappy with my recent purchase.",1.0 out of 5 stars
"This Crocs Men & Women's Classic Clog I received yesterday is the exact same as I have bought since they first came out. This one is NOT the same! Even the add/pic on here says they are made in Mexico. (My first clog was made in Boulder, the rest in Mexico.) The one I just ordered shows made in Vietnam. I noticed a diff as soon as I put it on. Much more of a hard plastic feel and a slightly smaller fit. I'm keeping them because it's to much trouble for me to return. I hope they wear ok. Time will tell. But this is FALSE advertising! I am starting to question Amazon's selling practices lately. But straight from Crocs website! It's worth the extra money to get the real thing.",2.0 out of 5 stars
"Rare to find this brand at the Amazon price I paid - wanted a clog with heel strap so I could safely drive back & forth to the local aquatic center.  I wasn't excited about the glossy black appearance, but since I only wear them to drive from my garage to the pool, walk about 200 feet across hot concrete, stick them in a locker while I swim, then reverse the process to go home, I can overlook my own fashion faux pas.  The heel strap keeps them properly positioned on my feet while driving, and the drain holes in the toes make them great for poolside.  I have falling arches & these make the walk from car to poolside & back so much less painful than foam flip-flops - and as stated before, I feel confident driving my car (automatic transmission) whereas with flip-flops, I'd change in & out of socks & shoes, while my kids wait for me to get the car started & the A/C going.  If these last half as long as my old Crocs Mammoth clogs (10+ years so far & still have a little bit of tread on the soles), then these are the best deal in footwear for my Fashion Tone-Deaf Curmudgeon Community.  (Life Member since 2013.)",5.0 out of 5 stars
"I know, I know... they are the ""Given up on life"" shoe.  They are ugly as sin.  I know this.  But I also know that when I am in hour 16 of standing for the work I do, they are a lifesaver and I'm not thinking about my feet hurting.  I'm thinking about how much I doubt my career choice at that moment, but my feet are fine.  I'm thinking about crying as the sun is coming up and I still have another two or three hours to go, but my feet are good to go. And when I finally crawl into bed, every part of me is calling me names, but my feet are still my friend.",5.0 out of 5 stars
"This was my second attempt at getting a new pair of Crocs that fit. My shoe size is W6.5 so I bought the size W6 Crocs. When they arrived and I tried them on, they were too small. My toes were scrunched together and walking just a few steps was not comfortable at all. I returned them and ordered the next size up (W7), but they were still too small. I compared them next to the pair I currently have (size W6-7/S/M4-5, bought from a shop in Mexico) and you can immediately see the size difference (see attached photo). Haven't decided yet whether to go up the next 2 sizes or just go up 1 size at a time. I am able to return them for a full refund, so that's good. But seeing how much smaller they are, I might jump up to size 9 even though my shoe size has never been that big. If those fit me well, then I will change my rating to 5 stars, as I love my Crocs and wanted to replace them with ones I could wear outside (wore a hole through them that they are now inside shoes/slippers).",2.0 out of 5 stars
"My husband has Plantar fasciitis (as I also have) and he has tried different inserts, balls to rub his feet on, exercises, etc.",5.0 out of 5 stars
So my dad had a pair of these years ago and I found myself putting these on for household tasks whenever I went over to his house.,4.0 out of 5 stars
It took me a little while to figure this out:,3.0 out of 5 stars
"I've had a pair of Croc knockoffs for at least a decade, and I'd worn them almost completely out. I wore them as slippers around the house, but they occasionally also became gardening clogs, shower shoes, etc. I got a pair of real Crocs to replace them, and the Crocs are definitely an improvement over the knockoffs.",5.0 out of 5 stars
You will not regret buying these!,5.0 out of 5 stars
"Crocs has apparently decided to save money on materials by shrinking the shoes. These are a full 1/2 inch shorter and 3/8 inch narrower than the same size ones they were intended to replace. I have returned them. I'm hesitant to order a larger size as they are also narrower, so I guess after 15 years of wearing them, I will have to find another shoe.",1.0 out of 5 stars
"I bought these to replace an earlier pair which were just great, and which I wore for two years.  These were the exact same size and style as before (different colour only).",1.0 out of 5 stars
"Classicly ugly, weird looking clown shoes that everyone - including me - loves to make fun of.  And yet, within five minutes of getting home for the night, I'm wearing these.",5.0 out of 5 stars
I never have liked the looks of these butt ugly things but my podiatrist told me to get a pair because of a foot problem.  They do offer great support and curiousness for my poor broken foot.  I find that when I walk my heel tends to extend over the inner sides and wants to roll in.  This is because I have such a high instep that my foot does not go all the way in.  I have about an inch of room in front of my big toe and my heel actually sticks out the back a little.  Perhaps I should have gone with a larger size?  The construction of these shoes is great and they are comfortable.  I expect that I will continue to wear these around the house once my foot has healed because of the support they offer.  I like them as slippers but not for walking any distance.,3.0 out of 5 stars
"I have two sets of Crocs I've been wearing for 10 years or so. I love them and they're all I wear, all year around. I've been needing a couple of more pairs to match outfits I have, so I ordered two pair (black and brown) last week. They're too small. They're the same size as the other two sets I have, but they're too small. I wear 8 wide, and the size 8 in the past has been perfect. Not this time. I can't return them because I wore them, so I'm hoping they give some over time. If I were to purchase them again, I'd get a size larger.",2.0 out of 5 stars
"For someone who has loved wearing the original crocs, these are not anywhere near the same.  They are almost an inch shorter than my others of the same size.  They are also narrower.  Worse, they are not as soft and cushie like walking on marshmallows the way the originals are.  Also, the finish is a cheap looking shiny texture rather than the mat finish they used to be.  I tried to wear them but can only stand them for an hour or two.  Thus, couldn't return them, but sure won't buy them again.",1.0 out of 5 stars
"My chiropractor recommended wearing crocs since I started having plantar fasciitis problems. I usually wear woman's size 8 shoes, and got these in size 8. They seem a little big but it's actually more comfortable to wear that way, so I think these fit me perfectly. I like to life up the back holder part and wear them around like sandals. It's also nice when it's cold cause I can just slip them on with my socks on. As for dealing with my plantar fasciitis, it ended up working for me! I wore these every day, and at first I didn't notice that much of a difference and my feet ached in the morning for a while too, but around a year into wearing these, I have completely recovered from plantar fasciitis!! It's like I never even had plantar fasciitis before! I think it took a while for my feet to heal since it's something we use every day. Now I am able to wear normal flat sandals too and my feet are fine in the mornings. I still wear crocs and their brand sandals for my main footwear though, cause I think it helps to prevent plantar fasciitis from happening.",5.0 out of 5 stars
"The product I received was not Crocs! I got some knock off brand called ""Satihu""  They looked just like Crocs and I didn't notice right away, but I started getting tendonitis pain in my left foot.  This is a recurring problem that is usually improved by wearing Crocs.  I took a closer look at the shoes and was shocked to see that they aren't real.  I went back and checked by order to make sure that the mistake wasn't mine, but the order clearly states that I purchased Crocs.",1.0 out of 5 stars
I try these because I needed  garden shoes and since the black in my size was on sale I wanted to try for myself if they are really all that different of the cheaper copies.,3.0 out of 5 stars
