review_text,review_star
Thanks Amazon for the freedom sale or else I would never have considered to buy these headphones.,4.0 out of 5 stars
Comfortable to wear.,4.0 out of 5 stars
Pros,4.0 out of 5 stars
-First of all it is not worth the price,2.0 out of 5 stars
"I am ok in this special edition, its not up to the original branded value... also phone calls are unclear... many times I used to avoid headphones for calls... battery performance is good as compared to main edition of 4.5 BT SERIES. For high bass songs sound quality is not good..",3.0 out of 5 stars
"this heeadphone work perfectly with mobile phones but problem with laptop . If you want to buy Sennheiser HD 4.50,  I suggest you  to buy original not special edition. I am tying special edition 2 times. all the times have same issues,, beware friends.",1.0 out of 5 stars
"Can't wear it more than 2 hours at a stretch or so, sometimes it becomes uncomfortable on ears & feels heavy. The sound is not very great as per price but it's good enough. Noise activation is difficult to activate on Bluetooth mode and easy on wired. Battery life is good, I charge it weekly.",4.0 out of 5 stars
"I have bought this product on 24 October 2018. Till now its work good but now for no reason its not working, first of all it stuck on ON state, no function is working in it. I tried to switch off it but that is not working either. So i connect it to laptop to switch off it. i thought it will work after getting off than i tried to ON it but now its look like its dead. and the main thing i haven't notice when i bought this is that there is no service center in Delhi, i have to travel to Gurgaon to repair it........",1.0 out of 5 stars
"I liked it when I got an almost ₹15K (₹14990) product at 50% Off in one of the Sales and icing on the cake was another 10% instant cashback. So, practically the product cost me ₹6741/- only. The HD 4.40 is available in ₹7.5K anyways. The only improved or additional feature that company talks about is Noise Cancellation, which is missing in HD 4.40. When you are listening to Music, the NC feature still works fine, but, during calls the Noise Cancellation feature doesn't works at all in noisy backgrounds. You literally have to remove the headset and shout out in the mic of the headset for the person to hear what you are talking. Battery is awesome. I am saying that as I have used the headset majorly for listening music while i am commuting. It has given me more than a weeks runtime at time. But, i believe if you use it continuously, it should give you atleast 2 days of run time. Durability wise I had read in some other review that the cushions are not great for long music sessions. Somewhat that statement is correct. The headphones start hurting if you wear it for too long. In my personal experience, it makes the section around your ears warm (probably because they are covered and no ventilation is happening) and starts sweating after around 15 mins of continuous music listening. The logo prints on the sides were printed so shallow that they vanished after around 2 months on usage.",4.0 out of 5 stars
The overall product quality and sound is excellent...But the authenticity of the product is questionable since its packaged in a brown coloured box with a qr code from Appario Retail Private Ltd instead of the Senheiser branded box...Can anyone help me regarding this?,5.0 out of 5 stars
Very worst prouct from Sennheiser. Didnt expect such kind of quality. Its not compatible with all devices. Its not comfortable to wear for long. No good bass or no better clear sound. Except noise cancellation nothing it has got. Sound quality is worse than my other normal earphones. Only noise cancelling is something useful otherwise it's waste of money. Packing is also cheap snd also when i exchanged for a new one no accessories were given. It came in a damaged box.,1.0 out of 5 stars
"Got this product for my brother. He absolutely loved it. The performance of Noise cancellation is absolutely brilliant. Its even better than Sony h.ear NC Wireless(100-ABN) model, which I primarily use, although the sound in Sony is more fuller.",5.0 out of 5 stars
