review_text,review_star
Good looking,5.0 out of 5 stars
Amazing pictures quality,5.0 out of 5 stars
Worth for Money...,5.0 out of 5 stars
Everything is OK but Moble head phone is not there. How is the new mobile is not there?,5.0 out of 5 stars
Item is so 3rd class quality,1.0 out of 5 stars
Everything I like,3.0 out of 5 stars
super,5.0 out of 5 stars
Volte support,4.0 out of 5 stars
Everting is good in this price point,4.0 out of 5 stars
Nice phone is low price.,4.0 out of 5 stars
Got a good phone in best price,5.0 out of 5 stars
Not much better screen quality is poor,1.0 out of 5 stars
product is good but earphone is not available,3.0 out of 5 stars
Osm,5.0 out of 5 stars
Good product & good service,5.0 out of 5 stars
Good,4.0 out of 5 stars
Nice mobile,4.0 out of 5 stars
good product,4.0 out of 5 stars
Good,5.0 out of 5 stars
Ok,3.0 out of 5 stars
Happy,1.0 out of 5 stars
Excellent vivo products,5.0 out of 5 stars
Overall okay 👍 looking Nice & light weight,5.0 out of 5 stars
In my order earphones were missing.,2.0 out of 5 stars
Not satisfied,1.0 out of 5 stars
Good condition,5.0 out of 5 stars
Nice product,4.0 out of 5 stars
Delivered,1.0 out of 5 stars
Best in this price,5.0 out of 5 stars
ok,5.0 out of 5 stars
Value for money,5.0 out of 5 stars
Good for it's price..,5.0 out of 5 stars
Very good phone,5.0 out of 5 stars
Everything  is good  but SD card support  problem  is major,4.0 out of 5 stars
"Good picture quality, good sound quality, value for money,",5.0 out of 5 stars
Great phone,4.0 out of 5 stars
Nice modal,5.0 out of 5 stars
Nice,4.0 out of 5 stars
Good,1.0 out of 5 stars
I didnt get headsets..why it is showing headsets in the box during buying...,4.0 out of 5 stars
🔋 battery backup is not sufficient,3.0 out of 5 stars
Hi,5.0 out of 5 stars
Good product,5.0 out of 5 stars
Excellent s,5.0 out of 5 stars
Awesome product with awesome price,5.0 out of 5 stars
Good camera and money valu best sound nice,5.0 out of 5 stars
Good,5.0 out of 5 stars
Budget killer smartphone...,5.0 out of 5 stars
Camara is only bad,5.0 out of 5 stars
Very nice mobile,5.0 out of 5 stars
Value for money,5.0 out of 5 stars
Nice,5.0 out of 5 stars
Good phone,4.0 out of 5 stars
Excellent work 👍,5.0 out of 5 stars
Very bad product,1.0 out of 5 stars
Good product,5.0 out of 5 stars
Good,3.0 out of 5 stars
Not So Good,3.0 out of 5 stars
Its so Good,5.0 out of 5 stars
Nice phone,5.0 out of 5 stars
Nice super,4.0 out of 5 stars
Very good,5.0 out of 5 stars
Nice....,5.0 out of 5 stars
Superb,5.0 out of 5 stars
Super,5.0 out of 5 stars
Best,5.0 out of 5 stars
Purchased on 01-01-2019 and have numerous features in less cost.  Its great to have multitasking experience ! Worth it for 8499@,5.0 out of 5 stars
Order time written Headphone in box but delivery time not with box WHY. Phone is gd but i want  headphone,4.0 out of 5 stars
Good and best many most employed we his from as good but city part king high July most years good,5.0 out of 5 stars
"Value for money, but not upto expectations. Sound quality is ok ok. But good camera i think higher end is better",3.0 out of 5 stars
Front camera is not so satisfying. Network so slow. Battery backup is worse. If you don't play games than its okay. But for heavy gamers don't go for it.,3.0 out of 5 stars
"If you use it for gaming like pubg,it is not for you even that in normal use it's OK, & value for money",3.0 out of 5 stars
"Very nice phone at this price range,camera quality is very good,screen quality is also nice,best phone under 10000 rupees,very nice",5.0 out of 5 stars
